NUTS YYYY MM 0 BAREA
DE412 1998 07 2 0.0611725
DE412 1998 08 2 0.913361
DE412 1998 09 2 0.0146242
DE412 1999 04 2 2.83041
DE412 1999 05 5 0.252814
DE412 1999 06 3 0.0318186
DE412 1999 07 3 1.23219
DE412 1999 08 3 3.10461
DE412 1999 09 3 0.901185
DE412 2000 04 5 0.838143
DE412 2000 05 5 0.316454
DE412 2000 06 5 5.50617
DE412 2000 07 3 0.161901
DE412 2000 08 2 4.01822
DE412 2001 05 4 0.389763
DE412 2001 07 5 0.231797
DE412 2002 03 4 1.01587
DE412 2002 04 5 3.68798
DE412 2002 05 3 0.0953768
DE412 2002 07 2 0.414045
DE412 2002 09 3 0.195143
DE412 2003 03 4 1.72301
DE412 2003 04 4 21.0501
DE412 2003 05 3 0.0309936
DE412 2003 06 3 6.22654
DE412 2003 07 2 0.155251
DE412 2003 08 2 0.839962
DE412 2003 09 2 0.026047
DE412 2004 04 2 0.0241236
DE412 2004 05 2 0.347961
DE412 2004 06 2 0.809932
DE412 2004 08 2 0.368142
DE412 2004 09 2 0.00530336
DE412 2005 03 2 0.556955
DE412 2005 04 4 0.568387
DE412 2005 05 4 1.19817
DE412 2005 06 2 0.196609
DE412 2006 04 2 0.054478
DE412 2006 05 5 0.691057
DE412 2006 06 3 0.107348
DE412 2006 07 3 1.93305
DE412 2006 08 2 0.214044
DE412 2006 09 2 0.219423
DE413 1998 03 2 0.108482
DE413 1998 04 2 0.0403881
DE413 1998 05 3 0.0507124
DE413 1998 08 2 0.267596
DE413 1999 05 2 0.0545964
DE413 1999 07 5 1.81325
DE413 1999 08 5 0.371798
DE413 1999 09 4 0.41315
DE413 1999 10 2 0.0088951
DE413 2000 04 3 0.104547
DE413 2000 05 5 0.162013
DE413 2000 06 5 0.66888
DE413 2001 07 4 0.088159
DE413 2002 03 3 0.612798
DE413 2002 04 2 0.00520623
DE413 2002 06 2 0.25516
DE413 2002 07 3 2.655
DE413 2002 08 2 0.0126309
DE413 2003 03 2 5.2789
DE413 2003 04 3 0.249118
DE413 2003 05 2 0.00582479
DE413 2003 08 4 0.105572
