longitude,latitude,mean,std,cv,lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,RVunif,bcmean,RVunif_bc
-96.5619219,42.8375205,6.8357,1.4861,0.21715,0,0,0,2,0,15,80,0,0,0,0,2,1667389,-29.5,93.5,22,69,38,42,20,2,26,1437,240,1,67,127,27,11573,292,-170,462,187,-90,209,-90,21072548,3382636,437671,55,8936015,1537502,8936015,1537502,502,37,5,17.6909522761238,1.82509530187796,2.59653570319372
-96.5408333,41.5611667,6.21,1.4856,0.2392,0,0,0,0,0,12,87,0,0,0,0,0,32588,-95,25,19,66,26,50,24,2,25,1451,240,2,96,130,29,10702,311,-125,436,208,-48,230,-48,1127704,178763,21860,54,473496,89191,473496,89191,461,55,3,27.3601271850636,1.73840043340217,2.54446303152929
-96.5291666666667,32.1958333333333,1.69315,0.66545,0.38995,0,0,0,12,2,64,21,0,0,0,0,1,244348.5,99,229.5,11,72,29,36,35,4,36,1655,240,5,186,128,36,7689,357,7,350,228,97,283,84,2674459,381395,144631,30,903118,513701,903118,513701,185,39,4,36.737884454722,0.519121210122067,-1.39791738837766
-96.2791666666667,41.2958333333333,4.6429,1.121,0.2415,0,0,0,1,0,24,74,0,0,0,0,0,1284220,-45,83,18,67,34,45,22,2,24,1464,240,3,90,134,30,10638,308,-131,439,201,-51,224,-51,18323244,2919612,367956,54,7909664,1425090,7909664,1425090,537,40,5,5.44662777192653,1.47298225463981,0.194403344052274
-96.2447803,47.2666293,1.451,0.3741,0.22635,2,0,14,15,1,9,55,0,0,0,0,3,123463,-98,28,58,63,47,37,15,7,26,1373,240,2,38,125,25,12293,268,-217,485,186,-131,186,-131,2593433,436644,57048,57,1163708,222216,1163708,222216,423,38,4,6.50709969866113,0.36850987639273,0.334396040276761
-96.1577778,41.0152778,3.46905,1.1402,0.32815,6,0,0,7,12,48,26,0,1,2,0,0,10969977,-53,93,21,70,44,38,18,9,23,1415,239,7,77,152,36,9245,298,-121,419,172,-40,198,-40,165640768,25841962,4867801,51,71551440,15941127,71551440,15941127,1459,122,6,2.82791721392497,1.20273744024104,2.90399628246347
-96.0297222,48.3447222,1.1386,0.2022,0.1776,3,0,6,12,1,10,63,0,0,0,0,2,57768,-22,109,77,59,45,39,14,6,25,1351,240,1,31,130,26,12570,267,-230,497,182,-142,182,-142,843347,143660,16200,62,392953,65077,392953,65077,356,7,0,50.0552197965052,0.129342344025171,0.157609372025473
-96.0097222,48.3147222,1.385,0.4881,0.3524,3,0,6,12,1,10,63,0,0,0,0,2,58483,-22,109,77,59,45,39,14,6,25,1351,240,1,31,130,26,12570,267,-230,497,182,-142,182,-142,853779,145437,16400,62,397813,65881,397813,65881,356,7,0,36.3224606508388,0.322832292102919,1.76758846927661
-95.9727884,41.9644323,8.07,3.1956,0.396,0,0,3,4,0,16,77,0,0,0,0,0,1992,-33,86,22,62,28,50,23,3,25,1510,240,2,97,125,29,10779,307,-125,432,209,-49,229,-49,27843,4138,592,52,11348,2138,11348,2138,363,103,1,5.21494218123225,1.9739395282546,1.9258877931904
-95.7041666666667,39.7541666666666,5.3,2.0209,0.3813,0,0,0,4,0,17,78,0,1,0,0,0,12774,51,188,19,64,21,53,26,3,24,1493,240,4,115,129,30,10144,321,-99,420,220,-21,242,-21,146641,20664,3611,49,56783,12365,56783,12365,376,47,2,24.9210036061585,1.59430814714059,-2.05135319228658
-95.645,40.6016667,7.7361,3.5093,0.44575,0,0,0,0,0,9,90,0,0,0,0,0,756852.5,0,128.5,23,65,20,54,26,2,27,1465,240,2,94,125,29,10722,304,-127,431,207,-52,226,-52,9389092,1284820,217487,49,3641880,785552,3641880,785552,373,58,4,20.2813613255823,1.93617695833228,-1.74066668577981
-95.5824448,29.3496858,2.025,0.44005,0.2206,2,0,1,11,6,50,28,0,1,0,0,0,8092977,56,204.5,11,71,39,37,24,5,23,1572,239,6,174,143,39,7663,348,-11,359,217,72,270,72,113595456,15209310,5622628,32,37710124,18233946,37710124,18233946,528,44,6,53.3787738380427,0.692203036819189,0.0628867109414397
-95.4363275,30.1104952,4.6556,2.2137,0.4755,31,1,9,30,1,9,19,0,2,0,0,0,105603,143,261,13,58,42,38,21,5,18,1582,240,2,198,120,39,6627,347,39,308,206,123,279,108,1404331,161544,90194,19,404839,293357,404839,293357,79,21,3,9.59435208449867,1.47549485169547,2.99938567666694
-95.428827,30.0357753,6.48,1.9569,0.302,4,0,3,10,1,22,53,0,7,0,0,0,93150,60,179,10,61,40,38,22,4,18,1580,240,2,199,116,38,6505,345,44,301,208,161,279,111,1306943,148683,80534,20,380328,265230,380328,265230,57,12,3,43.8311454187187,1.77689147834139,0.332756026501301
-95.32,48.9030556,0.7171,0.1477,0.206,8,0,9,38,1,5,38,0,0,0,0,0,37775,-30,96,112,56,58,31,11,8,20,1343,240,1,24,124,24,12782,258,-242,500,177,-153,177,-153,560745,95498,12185,61,260807,45093,260807,45093,361,14,3,3.79560859010723,-0.335565433735399,2.14980275659291
-95.3041666666667,30.2541666666667,0.578,0.0407,0.0704,29,1,13,37,0,4,15,0,0,0,0,0,33987,48,176,16,53,44,34,23,4,13,1550,240,2,194,124,39,6723,346,32,314,232,155,277,103,496438,57113,33852,17,144593,105763,144593,105763,92,35,2,21.6373893006117,-0.556435255802632,1.89396499439124
-95.2999348,30.0860514,1.116,0.2702,0.2421,28,2,8,31,1,8,17,1,1,0,0,2,269779,51,176,16,56,42,37,21,5,17,1569,240,3,196,123,39,6753,350,34,316,235,121,279,105,3938811,457378,253752,18,1144051,843194,1144051,843194,88,37,4,7.70236783553572,0.109423950340848,-1.29626582624967
-95.2625,30.0291666666667,5.6333,1.9559,0.3029,24,2,7,26,1,11,25,1,3,0,0,1,484615,96,221,14,57,42,37,21,5,17,1574,240,2,198,121,39,6661,348,38,310,235,123,279,107,6993299,806072,460801,19,2014206,1477496,2014206,1477496,78,28,5,10.5057333433752,1.64991597278118,2.81740491601335
-95.1557985,34.9125991,1.306,0.2887,0.2211,10,0,26,46,0,7,10,0,1,0,0,0,46802,47,184,19,51,43,36,21,9,13,1514,240,6,162,135,36,8158,345,-28,373,207,53,264,53,526176,69943,23954,26,168591,88787,168591,88787,278,183,2,45.3313729893694,0.265040160117024,-1.75058138442986
-95.153542,30.0360518,1.3992,0.3924,0.2805,28,3,8,28,0,8,18,0,2,0,0,0,654960,140,260,15,55,42,36,21,5,16,1564,240,2,196,122,39,6640,346,36,310,234,157,277,106,8685584,994328,582759,18,2508014,1839955,2508014,1839955,75,27,0,38.8053337524304,0.332850912065454,-1.31818565509719
-95.135764,29.921333,1.08515,0.2834,0.25105,29,3,8,29,0,7,18,0,2,0,0,0,644259,96,218.5,15,54,42,36,21,5,15,1563,240,2,196,122,39,6640,345,36,309,233,156,277,106,8906840,1018987,598651,18,2572594,1887169,2572594,1887169,75,27,0,14.4772239032456,0.0815368938443042,2.70150825060384
-95.1296525,30.0329961,0.9354,0.16365,0.17565,29,3,8,29,0,7,18,0,2,0,0,0,644259,96,218.5,15,54,42,36,21,5,15,1563,240,2,196,122,39,6640,345,36,309,233,156,277,106,8906840,1018987,598651,18,2572594,1887169,2572594,1887169,75,27,0,26.7185893926969,-0.0669024600748399,1.40586744877497
-95.0625,40.2041666666667,5.70805,2.1699,0.37615,0,0,0,1,0,16,82,0,0,0,0,0,320688.5,-28,99,22,63,21,53,25,2,26,1496,240,3,98,126,29,10525,307,-121,428,208,-45,228,-45,5279771,690204,127376,48,2007483,446838,2007483,446838,356,57,4,4.58382424631766,1.66191079550806,-1.05201996651889
-94.9625,38.9791666666667,1.64,0.102,0.0622,0,0,0,4,2,45,48,0,0,0,0,0,10019687,-31,117,17,70,36,42,22,3,21,1456,240,6,109,148,34,9789,327,-102,429,210,-17,236,-17,143335456,22241002,2987581,56,63339832,10456799,63339832,10456799,741,44,7,19.1349683136616,0.48810037737504,1.66784089347452
-94.9235658,35.9228689,2.6323,0.6917,0.2585,0,0,22,10,0,16,50,0,2,0,0,0,369430,26,159,21,53,40,37,23,7,14,1521,240,7,144,129,34,8415,327,-46,373,190,32,250,32,4140285,497947,193407,24,1321593,697139,1321593,697139,364,87,4,52.2023873580798,0.942824757220363,3.37416302534668
