SURVEYID,TRANSECT,POINT,VATH,EASTING,NORTHING
119,460011546,1,0,114460.3712,242546.5443
120,460011546,2,1,114408.5848,242801.5973
121,460011546,3,0,114433.1366,243078.4002
122,460011546,4,0,114429.7559,243307.2664
123,460011546,5,0,114290.5866,243480.1301
124,460011546,6,0,114022.407,243507.248
125,460011546,7,0,113863.8087,243631.5043
126,460011546,8,0,113690.8179,243731.275
127,460211517,4,0,152777.2369,243185.3154
128,460211517,5,0,152910.9142,242988.1858
129,460211517,7,0,153258.5026,242881.141
130,460211517,9,0,153636.9117,242709.8734
131,460311414,2,0,234213.2747,239495.2886
132,460311414,3,0,234068.6853,239232.3176
133,460311414,4,0,233758.1683,238969.3652
134,460311414,5,0,234036.0994,238911.3524
135,460511406,1,0,243911.6405,241422.2416
136,460511406,2,0,244044.3184,241175.0372
137,460511406,3,0,243854.444,240990.2387
138,460511406,5,0,243855.1757,240568.1888
139,460611532,1,0,133605.8236,250927.8514
140,460611532,3,0,133418.8775,251610.0983
141,460611532,5,0,132644.2624,251921.9501
142,460611532,6,0,132864.0455,252056.572
143,460611549,2,0,111762.891,252461.1014
144,460611549,3,0,111798.5741,252230.7186
145,460611549,4,0,111990.0924,251998.8947
146,460611549,5,0,112056.4794,251773.8403
147,460711353,2,0,261369.9091,244298.7569
148,460711353,3,0,261208.7237,244144.1276
149,460711353,4,0,261410.8124,243936.8671
150,460711353,5,0,261648.4033,243768.8203
151,461011359,7,0,255050.5606,251773.8662
152,461011359,8,0,254866.484,251313.4077
153,461011359,9,0,254653.5193,251146.32
154,461011359,10,0,254571.3729,250845.9414
155,461211355,1,0,259491.889,254105.9923
156,461211355,2,0,259718.8418,254292.4914
157,461211355,3,0,259992.3227,254440.7498
158,461211355,4,0,260029.2109,254752.6445
159,461311531,1,0,135463.4321,264725.2058
160,461311531,4,0,135400.6096,264924.0444
161,461311531,7,1,135419.8346,265123.2483
162,461311531,8,1,135500.7608,265299.8574
163,461311531,9,0,135548.3552,265475.6915
164,461311531,10,0,135568.7723,265690.4129
165,461411334,7,0,285118.126,254981.5997
166,461411334,8,0,285007.4384,254725.7879
167,461411334,9,0,284777.2287,254548.571
168,461411334,10,0,284589.4673,254296.7908
169,461411529,7,0,138172.1958,265743.4094
170,461411529,8,0,138341.0117,265988.0124
171,461411529,9,0,138523.5378,266128.9998
172,461411529,10,0,138720.0886,266231.0125
173,461611540,2,1,124598.584,271561.6357
174,461611540,4,1,125004.521,271346.7168
175,461611540,5,1,124963.1901,271067.8576
176,461611540,6,1,124677.6803,271084.816
177,461611540,7,1,125276.7247,270965.0709
178,461611540,8,0,125297.22,271156.3662
179,461611540,9,0,125413.1995,271313.3717
180,461611540,10,0,124966.545,271541.5106
181,461711356,5,0,257621.2365,263944.0881
182,461711356,7,0,258167.8286,264062.8238
183,461711356,8,0,258000.5051,263787.9427
184,461711356,9,0,258143.5789,263481.4259
185,461911357,2,0,257295.972,267522.3989
186,461911357,3,0,257117.3545,267758.5962
187,461911357,4,0,257364.6694,267957.1957
188,461911357,5,0,257238.2656,268202.6687
189,461911414,2,0,235205.6116,269290.814
190,461911414,3,0,235114.8334,269536.8739
191,461911414,4,0,235367.5869,269799.991
192,461911414,5,0,235475.5613,270041.8102
193,462111549,5,0,114942.0947,280209.1368
194,462111549,6,0,115229.786,280319.7647
195,462111549,7,1,115487.0739,280350.325
196,462111549,8,1,115809.7492,280377.8595
197,462511331,1,0,291380.198,276425.308
198,462511331,2,0,291124.1376,276310.4364
199,462511331,3,0,290833.6746,276275.2653
200,462511331,4,0,290521.3113,276233.4424
201,462511548,1,0,116009.8659,289113.4702
202,462511548,2,0,115717.4802,289293.1975
203,462511548,3,0,115610.3065,289541.64
204,462511548,4,0,115417.6134,289733.4157
205,462511609,1,0,87514.06617,290198.3101
206,462511609,3,0,88020.01153,290295.711
207,462511609,4,0,88247.93643,290308.6276
208,462511609,5,0,88512.12216,290258.2124
209,462511609,6,0,88759.74358,290212.5673
210,462511609,7,0,88987.71326,290189.8048
211,462611657,1,0,103487.713,290472.0494
212,462611657,2,0,103326.393,290116.1646
213,462611657,3,0,103264.6804,289845.7413
214,462611657,4,0,103209.06,289583.7382
215,462711412,1,0,238733.6569,282577.2423
216,462711412,2,0,238721.5153,282400.8903
217,462711412,3,0,238502.53,282304.9146
218,462711412,4,0,238251.3941,282237.6112
219,462711412,5,0,238025.9315,282187.7049
220,462711412,6,0,237783.2975,281980.6919
221,462711412,7,0,237552.5133,281906.6212
