ID NUTS YYYY MM 0 BAREA
243 BG413 2007 02 2 4.04579
244 BG413 2007 03 2 91.8944
245 BG413 2007 04 2 64.757
246 BG413 2007 05 2 1.60664
247 BG413 2007 06 2 7.62226
248 BG413 2007 07 2 158.693
249 BG413 2007 08 2 10.7716
250 BG413 2007 09 2 1.542
251 BG413 2007 10 2 10.4395
252 BG414 2005 03 3 5.75175
253 BG414 2006 03 3 44.5425
254 BG414 2006 04 2 0.139433
255 BG414 2006 09 2 4.62588
256 BG414 2006 10 2 0.276052
257 BG414 2007 01 4 4.30643
258 BG414 2007 02 4 4.16793
259 BG414 2007 03 4 495.007
260 BG414 2007 04 4 78.332
261 BG414 2007 05 4 2.15944
262 BG414 2007 07 3 25.7131
263 BG414 2007 08 2 0.734826
264 BG414 2007 09 2 4.46241
265 BG415 2005 01 3 3.05667
266 BG415 2005 03 3 17.5467
267 BG415 2005 04 4 56.6121
268 BG415 2005 05 2 2.79797
269 BG415 2005 07 2 0.229202
270 BG415 2005 08 4 1.65743
271 BG415 2005 11 2 0.132618
272 BG415 2006 02 4 4.00813
273 BG415 2006 03 3 2.46103
274 BG415 2006 04 5 5.46104
275 BG415 2006 08 2 0.755646
276 BG415 2006 09 3 2.58218
277 BG415 2006 10 3 3.36504
278 BG415 2006 11 2 2.91194
279 BG415 2006 12 2 0.794779
280 BG415 2007 01 3 20.5053
281 BG415 2007 02 5 5.29747
282 BG415 2007 03 5 106.259
283 BG415 2007 04 5 316.271
284 BG415 2007 05 3 0.323577
285 BG415 2007 06 4 21.6512
286 BG415 2007 07 4 888.636
287 BG415 2007 08 4 5.12635
288 BG415 2007 09 2 19.5612
289 BG415 2007 10 3 3.67903
290 BG421 2005 01 2 0.65647
291 BG421 2005 03 4 2.98041
292 BG421 2005 04 3 2.42129
293 BG421 2005 10 2 1.48457
294 BG421 2006 01 3 0.481229
295 BG421 2006 03 3 30.1665
296 BG421 2006 04 3 14.1157
297 BG421 2006 05 2 0.1245
298 BG421 2006 06 5 4.00158
299 BG421 2006 07 5 1
300 BG421 2006 08 4 1.44982
301 BG421 2006 09 4 61.2472
302 BG421 2006 11 3 36.602
303 BG421 2007 01 3 16.6377
304 BG421 2007 02 3 36.8495
305 BG421 2007 03 3 284.924
306 BG421 2007 04 3 200.269
307 BG421 2007 05 4 2.23446
308 BG421 2007 06 4 14.21
309 BG421 2007 07 4 626.222
310 BG421 2007 08 4 247.26
311 BG422 2005 03 4 12.6289
312 BG422 2005 04 4 73.5618
313 BG422 2005 09 4 5.53105
314 BG422 2006 01 5 10.3281
315 BG422 2006 02 3 0.89011
316 BG422 2006 03 4 20.2
317 BG422 2006 04 3 7.0596
318 BG422 2006 06 2 14.2214
319 BG422 2006 07 2 145.893
320 BG422 2006 08 2 1127.15
321 BG422 2006 09 2 610.552
322 BG422 2007 01 4 1.13109
323 BG422 2007 02 3 4.25846
324 BG422 2007 03 3 51.2923
325 BG422 2007 04 2 1.36679
326 BG422 2007 06 4 60.5828
327 BG422 2007 07 4 5106.58
328 BG422 2007 08 4 12972.6
329 BG423 2005 01 2 1.24759
330 BG423 2005 03 2 57.5449
331 BG423 2005 04 2 42.7673
332 BG423 2005 05 2 1.6553
333 BG423 2005 07 3 0.436605
334 BG423 2005 08 2 0.128153
335 BG423 2006 01 3 8.83021
336 BG423 2006 02 4 29.5281
337 BG423 2006 03 4 7.75145
338 BG423 2006 04 2 0.99176
339 BG423 2006 05 3 0.761956
340 BG423 2006 07 4 3.2859
341 BG423 2006 08 5 30.869
342 BG423 2006 09 5 58.8844
343 BG423 2006 10 2 0.665435
344 BG423 2006 11 5 5.24478
345 BG423 2006 12 3 19.0336
346 BG423 2007 01 3 330.791
347 BG423 2007 02 2 0.745402
348 BG423 2007 03 2 180.982
349 BG423 2007 04 2 62.7641
350 BG423 2007 05 4 0.452272
351 BG423 2007 06 3 29.5529
352 BG423 2007 07 3 1421.17
353 BG423 2007 08 5 18.1706
354 BG423 2007 09 2 1.00679
355 BG424 2005 03 2 1.77938
356 BG424 2005 04 2 2.04622
357 BG424 2005 05 2 0.212858
358 BG424 2005 06 2 0.0870192
359 BG424 2005 08 2 0.289737
