"x","y"
607650.103950197,4847683.0963546
607627.85296567,4847675.18256942
607628.364198045,4847643.52911967
607628.850314767,4847613.43057761
607606.477118943,4847613.06927018
607607.479630625,4847550.98409023
607585.106226396,4847550.62285825
607586.094175248,4847489.42620205
607563.640084984,4847489.06374654
607564.138434068,4847458.18775892
607509.169922975,4847457.30077723
607497.017294702,4847457.10474147
607497.311100092,4847438.89013104
607497.518913126,4847426.00662639
607489.06837059,4847425.87032326
607452.932241266,4847425.28758605
607453.431858238,4847394.30053739
607408.684015973,4847393.57920158
607409.152992544,4847364.48025427
607342.059558617,4847361.62177966
607342.454896549,4847337.07648583
607327.436882924,4847334.83493351
607297.964205973,4847330.36100107
607298.151957413,4847318.69921043
607298.461299473,4847299.48502247
607249.366765356,4847298.69479887
607231.338608706,4847298.40470922
607231.835388583,4847267.52873249
607170.748628779,4847266.54615793
607142.499020771,4847266.09195514
607142.997169556,4847235.10491581
607120.622732211,4847234.74526202
607120.362106979,4847250.9607017
607120.124687494,4847265.73230119
607097.750354328,4847265.37272239
607097.25419587,4847296.24869819
607119.628425341,4847296.60827715
607118.144979109,4847388.90301952
607095.771059604,4847388.5434401
607095.273106247,4847419.53048627
606983.404030739,4847417.73371551
606983.901463751,4847386.74667011
606872.192834131,4847384.9543599
606872.456428743,4847368.51678843
606872.68796396,4847354.07838137
606851.601655487,4847353.74027375
606783.19187675,4847352.64381923
606783.681250657,4847322.10103674
606694.345719836,4847320.67025438
606694.840015822,4847289.79427994
606672.465788475,4847289.43612759
606672.959978241,4847258.56015472
606650.585647317,4847258.20207767
606651.575589151,4847196.3390719
606584.371489802,4847195.26400542
606584.865256841,4847164.38803745
606540.357426046,4847163.67642076
606540.845658143,4847133.13364841
606518.470913864,4847132.77602228
606522.152218487,4846902.42803258
606522.420234701,4846885.65728041
606544.795808864,4846886.01490531
606546.134385078,4846802.2722149
606551.208024037,4846484.84975165
606573.343467887,4846485.20358923
606574.071449688,4846454.77577274
606596.206994743,4846455.1296845
606596.700701282,4846424.25375075
606619.158322051,4846424.61288529
606619.655682684,4846393.51482384
606642.03291473,4846393.87274628
606642.526823933,4846362.99681509
606664.904159779,4846363.35481252
606664.233058145,4846309.686192
606643.511081503,4846301.46708597
606643.925035211,4846275.58906081
606621.627337137,4846270.23323724
606622.089160291,4846241.3564725
606599.66288751,4846238.99817829
606600.003852755,4846217.67379916
606600.15657638,4846208.12225455
606578.020210857,4846207.76834402
606578.272305906,4846176.88856141
606530.618527748,4846176.12694013
606511.379924878,4846175.81955782
606511.873195121,4846144.94363756
606477.742628783,4846144.39846023
606467.036578544,4846144.22748543
606467.52609136,4846113.57369579
606423.011256943,4846112.86298529
606423.504108214,4846081.98706849
606372.87126868,4846081.17904526
606311.532281016,4846080.20068344
606312.102533535,4846044.43793356
606312.5222514,4846018.11566235
606267.201816576,4846017.39316773
606223.169351913,4846016.69150099
606223.571020446,4845991.47987562
606214.081054433,4845990.77322664
606134.146954332,4845984.39006422
606134.629608351,4845954.06947726
606022.89721378,4845952.29182173
606022.41506806,4845982.61240793
605977.657915552,4845981.90084627
605978.13985766,4845951.58026037
605911.003824322,4845950.51348187
605911.494279713,4845919.63757574
605866.736717377,4845918.92676609
605867.230489858,4845887.82873289
605845.012603613,4845887.47599671
605845.504506798,4845856.48902955
605823.125517451,4845856.13381234
605823.615551364,4845825.25791112
605801.236458461,4845824.90276921
605801.7263862,4845794.02686958
605779.347189737,4845793.67180296
605779.831725472,4845763.12909807
605757.452426577,4845762.77410674
605757.942141999,4845731.89821026
605713.183337206,4845731.18845333
605713.674603599,4845700.20149423
605691.295097334,4845699.84672863
605691.744006957,4845671.5253158
605669.565891309,4845668.61869664
605670.055185295,4845637.74280507
605634.473051132,4845637.17902708
