NUTS YYYY MM 0 BAREA
DE415 2003 02 2 0.0120666
DE415 2003 03 5 0.27744
DE415 2003 04 5 4.7018
DE415 2003 05 5 2.60197
DE415 2003 06 5 3.67264
DE415 2003 07 5 1.35177
DE415 2003 08 5 1.02374
DE415 2003 09 5 2.54038
DE416 2003 05 4 0.211562
DE416 2003 06 2 0.444991
DE416 2003 07 2 0.105896
DE416 2003 08 4 0.964785
DE417 2003 03 4 1.81684
DE417 2003 04 3 0.0610802
DE417 2003 05 3 4.79446
DE417 2003 06 3 3.27555
DE417 2003 07 4 0.673915
DE417 2003 08 4 0.157456
DE418 2003 03 4 55.2122
DE418 2003 04 4 11.0773
DE418 2003 07 2 0.108286
DE418 2003 08 5 1.82489
DE421 2003 04 3 0.298498
DE421 2003 07 2 0.0672547
DE421 2003 08 2 2.93714
DE422 2003 03 2 2.26865
DE422 2003 04 2 0.177208
DE422 2003 07 2 0.01119
DE422 2003 08 4 0.107948
DE423 2003 08 3 0.793549
DE424 2003 03 3 0.113966
DE424 2003 04 3 18.619
DE424 2003 05 3 1.72579
DE424 2003 06 3 4.37626
DE424 2003 07 4 11.2141
DE424 2003 08 4 2.65389
DE424 2003 09 4 3.85167
CY000 2004 02 3 0.955392
CY000 2004 03 3 6.49885
CY000 2004 04 3 10.9706
CY000 2004 05 3 296.32
CY000 2004 06 3 403.587
CY000 2004 07 3 164.836
CY000 2004 08 3 59.2979
CY000 2004 09 3 91.8522
CY000 2004 10 3 93.4021
CY000 2004 11 3 9.49625
CY000 2004 12 2 0.278038
CZ020 2004 03 2 24.0416
CZ032 2004 04 2 13.5171
CZ042 2004 06 2 13.5526
DE412 2004 04 2 0.0241236
DE412 2004 05 2 0.347961
DE412 2004 06 2 0.809932
DE412 2004 08 2 0.368142
DE412 2004 09 2 0.00530336
DE414 2004 03 4 1.97627
DE414 2004 04 3 1.00275
DE414 2004 07 2 0.00795488
DE415 2004 04 5 2.13174
DE415 2004 05 2 0.59346
DE415 2004 06 2 0.53308
DE415 2004 07 2 0.191283
DE415 2004 08 2 0.26141
DE415 2004 09 3 0.0237742
DE416 2004 04 2 0.114188
DE416 2004 05 2 0.302628
DE416 2004 08 2 0.00156981
DE417 2004 05 2 0.0439774
DE417 2004 08 3 0.387086
DE417 2004 09 2 0.00288114
DE418 2004 04 2 0.0111405
DE418 2004 05 2 0.0014667
DE421 2004 08 2 0.0591344
DE422 2004 08 2 2.57984
DE424 2004 02 2 0.289952
DE424 2004 03 3 1.71752
DE424 2004 04 3 1.08551
DE424 2004 05 5 0.442115
DE424 2004 06 4 0.281393
DE424 2004 07 4 0.141752
DE424 2004 08 4 0.0923612
DE424 2004 09 4 0.393816
BG311 2005 04 2 0.282594
BG312 2005 04 3 10.6419
BG313 2005 03 2 48.0927
BG314 2005 03 4 2.21985
BG315 2005 03 2 125.772
BG315 2005 04 2 95.5232
BG315 2005 06 2 3.70607
BG321 2005 03 3 59.201
BG321 2005 04 2 0.562725
BG322 2005 03 3 6.33855
BG322 2005 04 2 5.45605
BG323 2005 03 3 8.98824
BG323 2005 04 2 3.04655
BG324 2005 03 2 0.97613
BG324 2005 04 2 2.06119
BG325 2005 04 2 1.34959
BG325 2005 07 2 27.4231
BG331 2005 01 2 0.901016
BG331 2005 03 2 2.26082
BG331 2005 04 2 13.956
BG331 2005 06 2 0.0643451
BG332 2005 04 2 4.7556
BG333 2005 03 2 28.8306
BG333 2005 04 4 4.97396
BG341 2005 03 3 621.824
BG341 2005 04 4 9.6126
BG341 2005 06 2 1.6579
BG343 2005 03 2 3.71163
BG343 2005 04 2 4.73784
BG344 2005 01 3 4.74859
BG344 2005 03 2 7.04468
BG344 2005 04 4 138.517
BG411 2005 03 2 1.01033
BG411 2005 04 2 28.9588
BG412 2005 02 3 54.2146
BG412 2005 03 3 55.5808
BG412 2005 04 3 221.366
BG412 2005 05 2 0.676884
BG413 2005 03 4 51.1086
BG413 2005 04 5 33.3638
BG413 2005 05 3 2.01096
BG413 2005 06 3 7.07514
BG413 2005 07 3 2.50366
BG413 2005 08 3 2.27731
BG413 2005 10 2 1.18454
BG413 2005 11 2 26.345
BG414 2005 03 3 5.75175
BG415 2005 01 3 3.05667
BG415 2005 03 3 17.5467
BG415 2005 04 4 56.6121
BG415 2005 05 2 2.79797
BG415 2005 07 2 0.229202
BG415 2005 08 4 1.65743
BG415 2005 11 2 0.132618
BG421 2005 01 2 0.65647
BG421 2005 03 4 2.98041
BG421 2005 04 3 2.42129
BG421 2005 10 2 1.48457
BG422 2005 03 4 12.6289
BG422 2005 04 4 73.5618
BG422 2005 09 4 5.53105
BG423 2005 01 2 1.24759
BG423 2005 03 2 57.5449
BG423 2005 04 2 42.7673
BG423 2005 05 2 1.6553
BG423 2005 07 3 0.436605
BG423 2005 08 2 0.128153
BG424 2005 03 2 1.77938
BG424 2005 04 2 2.04622
BG424 2005 05 2 0.212858
BG424 2005 06 2 0.0870192
BG424 2005 08 2 0.289737
BG424 2005 10 4 0.870632
BG425 2005 03 3 0.188194
BG425 2005 04 5 2.46982
BG425 2005 06 2 0.27944
BG425 2005 07 2 0.592672
BG425 2005 09 4 0.186785
CY000 2005 01 2 4.33947
CY000 2005 02 2 0.129616
CY000 2005 03 2 14.916
CY000 2005 04 3 21.183
CY000 2005 05 3 398.663
CY000 2005 06 3 869.019
CY000 2005 07 3 30.7432
CY000 2005 08 3 343.746
CY000 2005 09 3 33.1192
CY000 2005 10 3 58.553
CY000 2005 11 3 23.5366
CY000 2005 12 4 0.0628105
CZ080 2005 04 2 10.6867
DE411 2005 06 2 0.0275849
DE412 2005 03 2 0.556955
DE412 2005 04 4 0.568387
DE412 2005 05 4 1.19817
DE412 2005 06 2 0.196609
DE413 2005 03 2 0.0187005
DE413 2005 04 3 0.16555
DE414 2005 04 2 12.8237
DE414 2005 05 3 0.182478
DE414 2005 06 2 0.051172
DE415 2005 03 2 0.0212352
DE415 2005 04 3 0.355172
DE415 2005 05 4 0.167359
DE415 2005 06 4 0.204903
DE415 2005 07 4 0.221021
DE416 2005 04 2 0.0285458
DE416 2005 07 2 0.0706065
DE417 2005 04 5 0.347789
DE417 2005 06 4 1.28673
DE418 2005 03 2 0.898471
DE418 2005 04 2 0.027917
DE418 2005 07 2 0.0257342
DE418 2005 08 2 0.000818049
DE418 2005 09 2 0.0140452
DE421 2005 04 2 0.434154
DE423 2005 04 2 0.00996257
DE423 2005 09 2 0.0324514
DE424 2005 04 4 0.881837
DE424 2005 05 4 3.08078
DE424 2005 06 4 0.990736
BG311 2006 11 2 0.600812
BG312 2006 10 2 0.293182
BG312 2006 11 5 92.0624
BG312 2006 12 3 29.1471
BG313 2006 03 2 6.13806
BG313 2006 07 2 2.44256
BG313 2006 11 2 0.347652
BG314 2006 07 3 2.58765
BG314 2006 08 2 3.64928
BG314 2006 09 2 0.302142
BG315 2006 04 2 36.2185
BG315 2006 11 3 31.5821
BG315 2006 12 3 123.5
BG321 2006 03 2 6.28263
BG321 2006 08 2 3.23006
BG321 2006 11 2 1.01262
BG322 2006 03 3 1.85972
BG322 2006 11 2 0.248026
BG323 2006 03 2 2.67472
BG323 2006 06 2 3.01386
BG323 2006 08 4 0.911752
BG323 2006 09 2 0.759697
BG324 2006 04 2 0.64145
BG324 2006 08 2 7.40875
BG325 2006 08 2 1.34587
BG325 2006 09 2 0.249886
BG331 2006 03 2 2.93096
BG331 2006 04 3 1.89504
BG331 2006 07 3 9.86313
BG331 2006 08 3 45.5238
BG331 2006 09 3 0.215108
BG332 2006 03 3 1.74459
BG332 2006 07 4 4.68026
BG332 2006 08 4 4.81496
BG333 2006 03 3 19.6429
BG333 2006 08 3 3.81421
BG333 2006 12 2 11.3134
BG334 2006 08 3 1.77483
BG334 2006 12 2 1.39199
BG341 2006 02 2 5.0424
BG341 2006 04 2 0.395691
BG341 2006 05 3 0.4285
BG341 2006 08 3 98.4393
BG341 2006 09 3 0.40148
BG342 2006 07 3 0.433358
BG342 2006 08 4 41.8133
BG342 2006 09 2 14.3074
BG343 2006 04 2 0.704769
BG343 2006 05 2 0.695017
BG343 2006 06 2 2.10271
BG343 2006 08 4 26.7505
BG344 2006 07 3 17.2738
BG344 2006 08 4 3.55306
BG344 2006 09 5 18.4984
BG411 2006 05 2 0.27316
BG411 2006 08 5 1.57985
