lon,lat,scientific_name
-78.683279,-0.017452,Lepidocolaptes_lacrymiger
-75.4480934,4.6493158,Lepidocolaptes_lacrymiger
-75.6665111,4.5566182,Lepidocolaptes_lacrymiger
-78.4671021,-0.1826045,Lepidocolaptes_lacrymiger
-78.7651062,-0.0370789,Lepidocolaptes_lacrymiger
-71.0647222,8.6216667,Lepidocolaptes_lacrymiger
-76.0867619,-9.6951729,Lepidocolaptes_lacrymiger
-74.0673351,11.112464,Lepidocolaptes_lacrymiger
-74.054933,11.111583,Lepidocolaptes_lacrymiger
-74.3069,4.6051,Lepidocolaptes_lacrymiger
-74.0448,11.1098,Lepidocolaptes_lacrymiger
-74.0448,11.1098,Lepidocolaptes_lacrymiger
-76.6203,3.5176,Lepidocolaptes_lacrymiger
-62.6306625,10.7035653,Lepidocolaptes_lacrymiger
-77.8880882,-0.6049235,Lepidocolaptes_lacrymiger
-77.8880882,-0.6049235,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-67.5909777,10.3690176,Lepidocolaptes_lacrymiger
-67.8195262,-16.2190681,Lepidocolaptes_lacrymiger
-76.5833333,3.5666667,Lepidocolaptes_lacrymiger
-77.5881314,-0.1040782,Lepidocolaptes_lacrymiger
-75.4859447,4.7109763,Lepidocolaptes_lacrymiger
-75.6498384,4.5736015,Lepidocolaptes_lacrymiger
-75.3333333,-10.6166667,Lepidocolaptes_lacrymiger
-71.0647222,8.6216667,Lepidocolaptes_lacrymiger
-78.6738,0.0169841,Lepidocolaptes_lacrymiger
-78.6738,0.0169841,Lepidocolaptes_lacrymiger
-67.2922869,10.4412579,Lepidocolaptes_lacrymiger
-74.7804142,-11.4566043,Lepidocolaptes_lacrymiger
-77.8381348,-0.6229469,Lepidocolaptes_lacrymiger
-78.736835,-0.0222688,Lepidocolaptes_lacrymiger
-79.1325474,-4.4948845,Lepidocolaptes_lacrymiger
-75.05304,6.9682,Lepidocolaptes_lacrymiger
-79.75561,-3.648443,Lepidocolaptes_lacrymiger
-78.683279,-0.017452,Lepidocolaptes_lacrymiger
-79.1325474,-4.4948845,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-78.1600857,-0.3786822,Lepidocolaptes_lacrymiger
-76.5745783,3.5727024,Lepidocolaptes_lacrymiger
-76.6041333,3.56285,Lepidocolaptes_lacrymiger
-73.8087273,4.3813513,Lepidocolaptes_lacrymiger
-77.8880882,-0.6049235,Lepidocolaptes_lacrymiger
-77.8880882,-0.6049235,Lepidocolaptes_lacrymiger
-71.5396167,-13.0643833,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-71.3301086,-13.2586598,Lepidocolaptes_lacrymiger
-78.7298279,-0.0141621,Lepidocolaptes_lacrymiger
-78.5848817,-0.1117873,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-78.7298279,-0.0141621,Lepidocolaptes_lacrymiger
-77.8601389,-0.4506944,Lepidocolaptes_lacrymiger
-75.43783,5.073373,Lepidocolaptes_lacrymiger
-77.840226,-0.664612,Lepidocolaptes_lacrymiger
-75.134,6.88,Lepidocolaptes_lacrymiger
-74.0952301,11.1241705,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-78.77841,-0.0510693,Lepidocolaptes_lacrymiger
-77.8074667,-5.6958833,Lepidocolaptes_lacrymiger
-75.4092979,5.0827198,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-78.7432888,-0.0207474,Lepidocolaptes_lacrymiger
-75.494957,4.71125,Lepidocolaptes_lacrymiger
-70.5282333,8.8227,Lepidocolaptes_lacrymiger
-79.1325474,-4.4948845,Lepidocolaptes_lacrymiger
