global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS221994880,-13.1924849,-71.5999603,Lepidocolaptes lacrymiger,7/29/00,,,107768,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS220193453,0.003758,-78.678405,Lepidocolaptes lacrymiger,2/12/02,3.219,,109839,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS239718762,-0.0510693,-78.77841,Lepidocolaptes lacrymiger,8/24/98,6.437,,111454,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS245786897,-0.0302124,-78.7382412,Lepidocolaptes lacrymiger,5/27/97,9.656,,112512,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS232486861,-0.3479555,-78.8665581,Lepidocolaptes lacrymiger,11/19/89,,,113078,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS240775974,4.5928517,-75.6282306,Lepidocolaptes lacrymiger,12/11/01,5,,114514,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS242884300,-17.82745,-64.66587,Lepidocolaptes lacrymiger,5/24/01,,,114752,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS243147310,-0.0763736,-78.7516737,Lepidocolaptes lacrymiger,9/12/94,8.047,,114842,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS244963116,-0.010552,-78.67632,Lepidocolaptes lacrymiger,11/8/99,6.437,,115096,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS247275811,5.0733333,-75.4379167,Lepidocolaptes lacrymiger,6/5/89,4,,115375,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS50260304,0.003758,-78.678405,Lepidocolaptes lacrymiger,7/22/00,,,116217,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS54161062,-0.0505543,-78.7772942,Lepidocolaptes lacrymiger,9/5/99,,4.8562,119722,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS60590522,8.6216667,-71.0647222,Lepidocolaptes lacrymiger,7/19/01,,,122062,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS67732611,-0.015922,-78.681206,Lepidocolaptes lacrymiger,12/14/03,6.437,,123523,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS90614306,3.433511,-76.6145668,Lepidocolaptes lacrymiger,7/4/75,8.047,,129453,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS89975528,0.0169841,-78.6738,Lepidocolaptes lacrymiger,8/13/03,,,129470,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS93600597,-0.0510693,-78.77841,Lepidocolaptes lacrymiger,1/1/02,24.14,,129693,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS93561224,10.3690176,-67.5909777,Lepidocolaptes lacrymiger,7/18/04,16.093,,129696,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS107578315,-0.015922,-78.681206,Lepidocolaptes lacrymiger,5/15/03,,,133400,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS124827740,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,2/19/98,,,136268,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS132785871,0.00859,-78.69729,Lepidocolaptes lacrymiger,1/7/00,4.828,,136689,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS138494949,-0.5911896,-77.882201,Lepidocolaptes lacrymiger,1/16/04,,,139544,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS147870353,-4.47601,-79.1219057,Lepidocolaptes lacrymiger,6/10/95,5,,140517,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS152241040,-17.1942744,-65.8113686,Lepidocolaptes lacrymiger,8/21/02,24.14,,141186,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS152919132,-18.0991773,-64.1824716,Lepidocolaptes lacrymiger,8/28/02,80.467,,141263,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS169313485,-0.0222688,-78.736835,Lepidocolaptes lacrymiger,11/15/00,4,,144651,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176633572,3.5176,-76.6203,Lepidocolaptes lacrymiger,7/15/95,,,146267,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176633935,4.69375,-75.498222,Lepidocolaptes lacrymiger,7/2/95,,,146278,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176664363,4.72895,-75.577607,Lepidocolaptes lacrymiger,9/6/02,,,146339,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176636907,4.69375,-75.498222,Lepidocolaptes lacrymiger,9/19/98,,,146349,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176664198,4.69375,-75.498222,Lepidocolaptes lacrymiger,9/8/02,,,146366,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS183496603,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,4/28/01,0.322,,147869,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS205184085,-16.2672058,-67.8329372,Lepidocolaptes lacrymiger,5/28/79,0.1,,150793,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS207340099,8.648269,-71.4020319,Lepidocolaptes lacrymiger,1/6/87,,,152889,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS221576500,8.648269,-71.4020319,Lepidocolaptes lacrymiger,9/5/81,,,155024,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS239481784,4.8451082,-75.5356836,Lepidocolaptes lacrymiger,3/29/04,3.5,,158923,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS244720193,-0.017452,-78.683279,Lepidocolaptes lacrymiger,3/15/96,6.437,,159721,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS248087966,4.6493158,-75.4480934,Lepidocolaptes lacrymiger,3/22/88,2,,160407,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS239412842,4.5566182,-75.6665111,Lepidocolaptes lacrymiger,11/2/02,3.5,,161811,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS253833884,-0.1826045,-78.4671021,Lepidocolaptes lacrymiger,10/21/90,0.5,,162975,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS59117714,-0.0370789,-78.7651062,Lepidocolaptes lacrymiger,7/3/01,,,168853,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS60590474,8.6216667,-71.0647222,Lepidocolaptes lacrymiger,7/18/01,,,169367,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS135051309,-9.6951729,-76.0867619,Lepidocolaptes lacrymiger,6/6/73,,,182905,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS175434682,11.112464,-74.0673351,Lepidocolaptes lacrymiger,12/30/96,,,191387,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176663669,11.111583,-74.054933,Lepidocolaptes lacrymiger,9/16/02,,,191588,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
